Version,DOT,Location,Subject,Sex,Age,Condition,Order,DOB,Knowledge,Knowledge2,Notes,Exclude,Experimenter,Other
pilot2,8/7/19,MSI,1,M,8.75,Knowledge,1,10/13/10,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,4,F,6.25,Knowledge,1,4/23/13,Disfluent,NA,,0,BM,
pilot2,8/7/19,MSI,6,M,9.42,Knowledge,1,2/16/10,Fluent,NA,,0,BM,(guess prompt)
pilot2,8/7/19,MSI,5,F,10.25,Knowledge,1,05/02/09,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,9,F,6.25,Knowledge,1,4/18/13,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,12,M,7.17,Knowledge,1,5/13/12,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,14,F,8.75,Knowledge,1,10/21/10,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,16,F,5.33,Knowledge,1,3/20/14,Fluent,NA,,0,BM,
pilot2,8/7/19,MSI,17,M,6.67,Knowledge,1,11/17/12,Disfluent,NA,,0,BM,
pilot2,8/10/19,MSI,2,M,6.67,Knowledge,1,11/15/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,1,M,9.25,Knowledge,1,5/8/10,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,4,F,7.83,Knowledge,1,10/1/11,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,7,M,10.42,Knowledge,1,2/28/09,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,8,F,6.92,Knowledge,1,09/02/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,9,F,7.42,Knowledge,1,02/29/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,10,M,9.33,Knowledge,1,03/16/10,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,11,F,5.25,Knowledge,1,05/08/14,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,15,F,7.5,Knowledge,1,1/12/12,Fluent,NA,,0,BM,
pilot2,8/10/19,MSI,16,F,8.17,Knowledge,1,5/17/11,Fluent,NA,,0,BM,
pilot2,8/14/19,MSI,4,F,4.92,Knowledge,1,9/3/14,Disfluent,NA,,0,JZ,
pilot2,8/14/19,MSI,5,F,7.42,Knowledge,1,3/8/12,Fluent,NA,,0,JZ,
pilot2,8/14/19,MSI,7,F,5.92,Knowledge,1,9/9/13,Fluent,NA,,0,JZ,
pilot4,9/29/19,MSI,1,M,4.92,ignorance,1,10/27/14,fluent,NA,,1,BM,"exclude: exp error in first read through, bad"
pilot4,9/29/19,MSI,2,F,8.67,ignorance,2,1/11/11,fluent,NA,,0,BM,
pilot4,9/29/19,MSI,3,F,6.17,ignorance,3,7/3/13,disfluent,NA,,0,BM,
pilot4,9/29/19,MSI,4,F,5.75,ignorance,4,12/13/13,fluent,NA,,0,BM,
