"","subj","condition","counterbalance","trial_num","knowledgable","knowledgable_num","confidence"
"1",2,"knowledge","Q944",1,"fluent",1,2
"2",2,"knowledge","Q944",2,"fluent",1,2
"3",3,"knowledge","knows_1",1,"fluent",1,3
"4",3,"knowledge","knows_1",2,"fluent",1,3
"5",4,"ignorance","knows_4",1,"disfluent",0,4
"6",4,"ignorance","knows_4",2,"fluent",1,3
"7",5,"knowledge","knows_1",1,"fluent",1,4
"8",5,"knowledge","knows_1",2,"fluent",1,4
"9",6,"ignorance","knows_3",1,"disfluent",0,2
"10",6,"ignorance","knows_3",2,"fluent",1,2
"11",7,"knowledge","Q944",1,"fluent",1,2
"12",7,"knowledge","Q944",2,"fluent",1,2
"13",8,"knowledge","knows_2",1,"fluent",1,7
"14",8,"knowledge","knows_2",2,"fluent",1,7
"15",9,"ignorance","knows_6",1,"disfluent",0,3
"16",9,"ignorance","knows_6",2,"fluent",1,5
"17",10,"knowledge","knows_2",1,"fluent",1,6
"18",10,"knowledge","knows_2",2,"fluent",1,7
"19",11,"knowledge","knows_1",1,"fluent",1,5
"20",11,"knowledge","knows_1",2,"fluent",1,2
"21",12,"ignorance","knows_3",1,"disfluent",0,1
"22",12,"ignorance","knows_3",2,"disfluent",0,1
"23",13,"ignorance","knows_3",1,"disfluent",0,1
"24",13,"ignorance","knows_3",2,"disfluent",0,1
"25",14,"knowledge","knows_2",1,"fluent",1,7
"26",14,"knowledge","knows_2",2,"fluent",1,7
"27",15,"ignorance","knows_4",1,"fluent",1,5
"28",15,"ignorance","knows_4",2,"fluent",1,6
"29",16,"ignorance","knows_5",1,"fluent",1,1
"30",16,"ignorance","knows_5",2,"fluent",1,1
"31",17,"knowledge","knows",1,"fluent",1,6
"32",17,"knowledge","knows",2,"fluent",1,6
"33",18,"knowledge","knows",1,"fluent",1,6
"34",18,"knowledge","knows",2,"fluent",1,5
"35",19,"knowledge","knows",1,"fluent",1,2
"36",19,"knowledge","knows",2,"fluent",1,2
"37",20,"ignorance","knows_5",1,"fluent",1,1
"38",20,"ignorance","knows_5",2,"fluent",1,1
"39",22,"ignorance","knows_4",1,"disfluent",0,4
"40",22,"ignorance","knows_4",2,"fluent",1,1
"41",23,"knowledge","Q944",1,"fluent",1,6
"42",23,"knowledge","Q944",2,"fluent",1,6
"43",24,"ignorance","knows_4",1,"fluent",1,6
"44",24,"ignorance","knows_4",2,"disfluent",0,NA
