"","id","age","gender","test","comment","order","question_order","pref","dispref","label","unlabel","question","speaker","Age_Binned","speaker_bin","Trial"
"1","6878","6","girl",NA,"yellow said mm was still thinking","4","dispref","tiger","zebra","cows","pigs","basketball","Disfluent","6-7",0,"Trial 1"
"2","6878","6","girl",NA,"yellow said mm was still thinking","4","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","6-7",0,"Trial 1"
"3","6878","6","girl",NA,"yellow said mm was still thinking","4","dispref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"4","6878","6","girl",NA,"yellow said mm was still thinking","4","dispref","tiger","zebra","cows","pigs","soccer","Disfluent","6-7",0,"Trial 2"
"5","6878","6","girl",NA,"yellow said mm was still thinking","4","dispref","tiger","zebra","cows","pigs","know_unlabel","Fluent","6-7",1,"Trial 2"
"6","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","pref","Fluent","8-9",1,"Trial 1"
"7","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","basketball","Disfluent","8-9",0,"Trial 1"
"8","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","dispref","Disfluent","8-9",0,"Trial 1"
"9","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","know_label","Fluent","8-9",1,"Trial 2"
"10","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","soccer","Disfluent","8-9",0,"Trial 2"
"11","6208","9","girl",NA,"because the yellow person said um and took longer to remember so the orange person knows more about pigs and the yellow knows more about cows","2","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","8-9",0,"Trial 2"
"12","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","pref","Fluent","6-7",1,"Trial 1"
"13","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","basketball","Fluent","6-7",1,"Trial 1"
"14","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","dispref","Disfluent","6-7",0,"Trial 1"
"15","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","know_label","Fluent","6-7",1,"Trial 2"
"16","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","soccer","Disfluent","6-7",0,"Trial 2"
"17","6209","6","boy",NA,"because the orange person said a little pause so she had to think but the yellow person didn't","3","dispref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","6-7",0,"Trial 2"
"18","6059","6","girl",NA,"because she didn't say um","2","dispref","zebra","tiger","pigs","cows","pref","Fluent","6-7",1,"Trial 1"
"19","6059","6","girl",NA,"because she didn't say um","2","dispref","zebra","tiger","pigs","cows","dispref","Disfluent","6-7",0,"Trial 1"
"20","6059","6","girl",NA,"because she didn't say um","2","dispref","zebra","tiger","pigs","cows","know_label","Fluent","6-7",1,"Trial 2"
"21","6059","6","girl",NA,"because she didn't say um","2","dispref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","6-7",0,"Trial 2"
"22","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","pref","Disfluent","4-5",0,"Trial 1"
"23","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","basketball","Fluent","4-5",1,"Trial 1"
"24","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","dispref","Disfluent","4-5",0,"Trial 1"
"25","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","know_label","Fluent","4-5",1,"Trial 2"
"26","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","soccer","Disfluent","4-5",0,"Trial 2"
"27","RP-0188","5","boy",NA,"i dont know","4","pref","tiger","zebra","cows","pigs","know_unlabel","Fluent","4-5",1,"Trial 2"
"28","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","pref","Fluent","4-5",1,"Trial 1"
"29","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","basketball","Disfluent","4-5",0,"Trial 1"
"30","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","dispref","Disfluent","4-5",0,"Trial 1"
"31","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","know_label","Fluent","4-5",1,"Trial 2"
"32","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","soccer","Disfluent","4-5",0,"Trial 2"
"33","RP-0200","5","girl",NA,"i dont know","3","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","4-5",0,"Trial 2"
"34","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","pref","Fluent","8-9",1,"Trial 1"
"35","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","basketball","Fluent","8-9",1,"Trial 1"
"36","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","dispref","Disfluent","8-9",0,"Trial 1"
"37","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","know_label","Fluent","8-9",1,"Trial 2"
"38","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","soccer","Fluent","8-9",1,"Trial 2"
"39","4702","8","girl",NA,"Because they didn't stop in between the words","2","dispref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","8-9",0,"Trial 2"
"40","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","6-7",1,"Trial 1"
"41","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","6-7",1,"Trial 1"
"42","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","6-7",0,"Trial 1"
"43","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","know_label","Fluent","6-7",1,"Trial 2"
"44","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","soccer","Disfluent","6-7",0,"Trial 2"
"45","5923","6","boy",NA,"Because she answered it faster!","1","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","6-7",0,"Trial 2"
"46","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","4-5",1,"Trial 1"
"47","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","4-5",1,"Trial 1"
"48","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","4-5",0,"Trial 1"
"49","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","know_label","Disfluent","4-5",0,"Trial 2"
"50","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","soccer","Fluent","4-5",1,"Trial 2"
"51","9015","4","girl",NA,"Because she said um","1","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","4-5",0,"Trial 2"
"52","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","pref","Fluent","6-7",1,"Trial 1"
"53","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","basketball","Disfluent","6-7",0,"Trial 1"
"54","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","dispref","Disfluent","6-7",0,"Trial 1"
"55","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","know_label","Fluent","6-7",1,"Trial 2"
"56","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","soccer","Disfluent","6-7",0,"Trial 2"
"57","5145","7","girl",NA,"Cause she said um a pig, and the orange person said pig really fast","2","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","6-7",0,"Trial 2"
"58","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"59","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","8-9",1,"Trial 1"
"60","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
"61","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","know_label","Fluent","8-9",1,"Trial 2"
